Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/albums,2796,0,2502.241148002213,2512.2222827420924,2502.241148002213,2738.5164860024815,52.0,22.031514925912465,0.0,2500,2500,2500,2500,2500,2500,2600,2600,2700,2700,2700
GET,/comments,3014,0,1300.0,1266.1304031462769,504.17322800058173,2167.210031999275,54.0,23.749279680507925,0.0,1300,1500,1600,1700,1900,1900,2000,2000,2100,2200,2200
GET,/comments/1,2974,0,1200.0,1256.2466061996856,504.5098609989509,2128.5728340008063,56.0,23.434093487004173,0.0,1200,1500,1600,1700,1900,1900,2000,2000,2100,2100,2100
GET,/comments/2,2886,0,1200.0,1256.584355249494,505.7921770021494,2167.632988999685,56.0,22.74068386129591,0.0,1200,1500,1600,1700,1900,1900,2000,2000,2000,2200,2200
GET,/photos,2796,0,3300.0,3256.434059057253,2507.6186949991097,4137.69503399817,52.0,22.031514925912465,0.0,3300,3500,3600,3700,3900,3900,4000,4000,4000,4100,4100
GET,/posts/1,2891,0,1200.0,1255.2721860321851,504.6855130021868,2159.858561000874,53.0,22.78008213548388,0.0,1200,1500,1600,1700,1900,1900,2000,2000,2100,2200,2200
GET,/posts/2,2869,0,1300.0,1260.0601239121995,504.2560920010146,2152.9929419994005,53.0,22.606729729056816,0.0,1300,1500,1600,1700,1900,1900,2000,2000,2100,2200,2200
,Aggregated,20226,0,1500.0,1708.2944926414048,504.17322800058173,4137.69503399817,53.741718580045486,159.37389874517362,0.0,1500,1900,2500,2500,2900,3500,3800,3900,4000,4000,4100
